Section ID,Section,HS4 ID,HS4,Year,Exports from China to India,PCI
1,Animal Products,0106,Other Animals,2021,9116.0,
1,Animal Products,0210,Preserved Meat,2021,1742.0,0.22
1,Animal Products,0301,Live Fish,2021,3250.0,-0.65
1,Animal Products,0303,Non-fillet Frozen Fish,2021,843507.0,-0.92
1,Animal Products,0304,Fish Fillets,2021,200163.0,-0.69
1,Animal Products,0306,Crustaceans,2021,7050344.0,-2.06
1,Animal Products,0307,Molluscs,2021,356303.0,-1.58
1,Animal Products,0407,Eggs,2021,219.0,-0.54
1,Animal Products,0409,Honey,2021,3094.0,-1.44
1,Animal Products,0410,Other Edible Animal Products,2021,6791.0,-0.71
1,Animal Products,0502,Pig Hair,2021,796096.0,
1,Animal Products,0505,Bird Feathers and Skins,2021,47287.0,0.25
1,Animal Products,0508,Coral and Shells,2021,133595.0,
1,Animal Products,0511,Other Inedible Animal Products,2021,5536636.0,-0.50
2,Vegetable Products,0602,"Other live plants, cuttings and slips; mushroom spawn",2021,9002945.0,-0.98
2,Vegetable Products,0603,Cut Flowers,2021,20545.0,-1.59
2,Vegetable Products,0604,Plant foliage,2021,529809.0,-0.91
2,Vegetable Products,0706,Root Vegetables,2021,4051.0,-0.75
2,Vegetable Products,0710,Frozen Vegetables,2021,59931.0,-0.52
2,Vegetable Products,0711,Preserved Vegetables,2021,562841.0,
2,Vegetable Products,0712,Dried Vegetables,2021,1875864.0,-1.01
2,Vegetable Products,0713,Dried Legumes,2021,32705845.0,-2.06
2,Vegetable Products,0714,Cassava,2021,2720.0,-2.10
2,Vegetable Products,0801,"Coconuts, Brazil Nuts, and Cashews",2021,65.0,-2.79
2,Vegetable Products,0802,Other Nuts,2021,180691.0,-1.44
2,Vegetable Products,0805,Citrus,2021,622013.0,-1.18
2,Vegetable Products,0806,Grapes,2021,8327096.0,-1.33
2,Vegetable Products,0808,Apples and Pears,2021,54399.0,-0.76
2,Vegetable Products,0809,Pitted Fruits,2021,1098180.0,-1.23
2,Vegetable Products,0811,Frozen Fruits and Nuts,2021,36049.0,-0.64
2,Vegetable Products,0813,Dried Fruits,2021,1016.0,-1.38
2,Vegetable Products,0901,Coffee,2021,674.0,-1.34
2,Vegetable Products,0902,Tea,2021,1908116.0,-1.59
2,Vegetable Products,0904,Pepper,2021,2770021.0,-2.06
2,Vegetable Products,0906,Cinnamon,2021,3597493.0,
2,Vegetable Products,0909,Spice Seeds,2021,5834743.0,-1.90
2,Vegetable Products,0910,Spices,2021,902065.0,-1.73
2,Vegetable Products,1008,Buckwheat,2021,402.0,
2,Vegetable Products,1105,Potato Flours,2021,418.0,0.36
2,Vegetable Products,1106,Legume Flours,2021,1437.0,
2,Vegetable Products,1108,Starches,2021,784962.0,-0.48
2,Vegetable Products,1109,Wheat Gluten,2021,14202487.0,0.28
2,Vegetable Products,1206,Sunflower Seeds,2021,1470019.0,-0.41
2,Vegetable Products,1207,Other Oily Seeds,2021,49175.0,-2.45
2,Vegetable Products,1209,Sowing Seeds,2021,3374822.0,-0.22
2,Vegetable Products,1211,Perfume Plants,2021,3353937.0,-2.05
2,Vegetable Products,1212,"Locust beans, seaweed, sugar beet, cane, for food",2021,796014.0,-1.48
2,Vegetable Products,1301,Insect Resins,2021,1820549.0,-2.78
2,Vegetable Products,1302,Vegetable Saps,2021,28440218.0,-0.25
2,Vegetable Products,1401,Vegetable Plaiting Materials,2021,58819958.0,
2,Vegetable Products,1404,Other Vegetable Products,2021,19003.0,-1.77
3,Animal and Vegetable Bi-Products,1504,Fish Oil,2021,8625898.0,-1.74
3,Animal and Vegetable Bi-Products,1505,Wool Grease,2021,2828574.0,
3,Animal and Vegetable Bi-Products,1506,Other Animal Fats,2021,38700.0,0.50
3,Animal and Vegetable Bi-Products,1508,Ground Nut Oil,2021,429748.0,-3.12
3,Animal and Vegetable Bi-Products,1512,Seed Oils,2021,3.0,-1.09
3,Animal and Vegetable Bi-Products,1515,Other Pure Vegetable Oils,2021,1304947.0,-1.17
3,Animal and Vegetable Bi-Products,1516,Other Vegetable Oils,2021,102.0,-1.84
3,Animal and Vegetable Bi-Products,1517,Margarine,2021,6314.0,-1.01
3,Animal and Vegetable Bi-Products,1518,Inedible Fats and Oils,2021,29095.0,-0.42
3,Animal and Vegetable Bi-Products,1521,Vegetable waxes and beeswax,2021,199780.0,
4,Foodstuffs,1601,Sausages,2021,6245.0,0.11
4,Foodstuffs,1602,Other Prepared Meat,2021,20841.0,0.15
4,Foodstuffs,1603,Animal Extracts,2021,40406.0,
4,Foodstuffs,1604,Processed Fish,2021,780.0,-0.56
4,Foodstuffs,1605,Processed Crustaceans,2021,1000363.0,-1.17
4,Foodstuffs,1702,Other Sugars,2021,2788523.0,0.06
4,Foodstuffs,1704,Confectionery Sugar,2021,11084131.0,-1.10
4,Foodstuffs,1805,Cocoa Powder,2021,926917.0,-0.93
4,Foodstuffs,1806,Chocolate,2021,552911.0,0.09
4,Foodstuffs,1901,Malt Extract,2021,95798.0,-0.33
4,Foodstuffs,1902,Pasta,2021,357772.0,-0.86
4,Foodstuffs,1903,Tapioca,2021,10130.0,
4,Foodstuffs,1904,Prepared Cereals,2021,145179.0,-0.54
4,Foodstuffs,1905,Baked Goods,2021,389193.0,-0.31
4,Foodstuffs,2001,Pickled Foods,2021,12117.0,-0.75
4,Foodstuffs,2002,Processed Tomatoes,2021,5365308.0,-1.15
4,Foodstuffs,2003,Processed Mushrooms,2021,521301.0,0.55
