Country,Country ID,Year,Imports (USD),Share (%)
Algeria,DZA,2021,636613599.0,0.110
Egypt,EGY,2021,2991875531.0,0.515
Libya,LBY,2021,368517849.0,0.063
Morocco,MAR,2021,2018721764.0,0.347
Sudan,SDN,2021,258777638.0,0.045
Tunisia,TUN,2021,230194698.0,0.040
Burundi,BDI,2021,50395.0,0.000
Comoros,COM,2021,13938577.0,0.002
Djibouti,DJI,2021,37744973.0,0.006
Eritrea,ERI,2021,123389.0,0.000
Ethiopia,ETH,2021,90943416.0,0.016
Kenya,KEN,2021,116178554.0,0.020
Madagascar,MDG,2021,118991858.0,0.020
Mozambique,MOZ,2021,1533660657.0,0.264
Mauritius,MUS,2021,65568225.0,0.011
Malawi,MWI,2021,121635633.0,0.021
Rwanda,RWA,2021,7477961.0,0.001
Somalia,SOM,2021,16855794.0,0.003
South Sudan,SSD,2021,1046355.0,0.000
Seychelles,SYC,2021,6126475.0,0.001
Tanzania,TZA,2021,1952020418.0,0.336
Uganda,UGA,2021,78945312.0,0.014
Angola,AGO,2021,2685179031.0,0.462
Central African Republic,CAF,2021,53588.0,0.000
Cameroon,CMR,2021,462183635.0,0.080
Democratic Republic of the Congo,COD,2021,15349118.0,0.003
Republic of the Congo,COG,2021,697878708.0,0.120
Gabon,GAB,2021,969964678.0,0.167
Equatorial Guinea,GNQ,2021,854829594.0,0.147
Chad,TCD,2021,3307493.0,0.001
Botswana,BWA,2021,853779073.0,0.147
Lesotho,LSO,2021,141826.0,0.000
Namibia,NAM,2021,46941011.0,0.008
Eswatini,SWZ,2021,284983262.0,0.049
South Africa,ZAF,2021,10548160014.0,1.814
Zambia,ZMB,2021,163727201.0,0.028
Zimbabwe,ZWE,2021,5552112.0,0.001
Benin,BEN,2021,394120274.0,0.068
Burkina Faso,BFA,2021,970643783.0,0.167
Cote d'Ivoire,CIV,2021,366636897.0,0.063
Cape Verde,CPV,2021,3965615.0,0.001
Ghana,GHA,2021,2622715973.0,0.451
Guinea,GIN,2021,3446686903.0,0.593
Gambia,GMB,2021,41251292.0,0.007
GuineaBissau,GNB,2021,143885857.0,0.025
Liberia,LBR,2021,15241094.0,0.003
Mali,MLI,2021,21467938.0,0.004
Mauritania,MRT,2021,12203258.0,0.002
Niger,NER,2021,4797921.0,0.001
Nigeria,NGA,2021,9157847223.0,1.575
Senegal,SEN,2021,575956746.0,0.099
Saint Helena,SHN,2021,7083.0,0.000
Sierra Leone,SLE,2021,14689191.0,0.003
Togo,TGO,2021,358589902.0,0.062
Kazakhstan,KAZ,2021,1693088446.0,0.291
Kyrgyzstan,KGZ,2021,2706888.0,0.000
Tajikistan,TJK,2021,7751004.0,0.001
Turkmenistan,TKM,2021,3847117.0,0.001
Uzbekistan,UZB,2021,27774218.0,0.005
China,CHN,2021,87108782766.0,14.984
Hong Kong,HKG,2021,16347960811.0,2.812
