Country,Country ID,Year,Imports (USD),Share (%)
Algeria,DZA,2024,1002158233.0,0.145
Egypt,EGY,2024,838978216.0,0.122
Libya,LBY,2024,135424634.0,0.020
Morocco,MAR,2024,1884156901.0,0.273
Sudan,SDN,2024,419296349.0,0.061
Tunisia,TUN,2024,169686138.0,0.025
Burundi,BDI,2024,2207959.0,0.000
Comoros,COM,2024,15939852.0,0.002
Djibouti,DJI,2024,7843126.0,0.001
Ethiopia,ETH,2024,85791275.0,0.012
Kenya,KEN,2024,153448086.0,0.022
Madagascar,MDG,2024,206493613.0,0.030
Mozambique,MOZ,2024,2470396522.0,0.359
Mauritius,MUS,2024,51125807.0,0.007
Malawi,MWI,2024,80307990.0,0.012
Rwanda,RWA,2024,25551577.0,0.004
Somalia,SOM,2024,34712956.0,0.005
South Sudan,SSD,2024,839007.0,0.000
Seychelles,SYC,2024,3367685.0,0.000
Tanzania,TZA,2024,1843700322.0,0.268
Uganda,UGA,2024,807766831.0,0.117
Angola,AGO,2024,5914544362.0,0.858
Central African Republic,CAF,2024,6664908.0,0.001
Cameroon,CMR,2024,472944665.0,0.069
Democratic Republic of the Congo,COD,2024,863945372.0,0.125
Republic of the Congo,COG,2024,596719379.0,0.087
Gabon,GAB,2024,524856201.0,0.076
Equatorial Guinea,GNQ,2024,583986594.0,0.085
Sao Tome and Principe,STP,2024,13545.0,0.000
Chad,TCD,2024,44389391.0,0.006
Botswana,BWA,2024,1183311539.0,0.172
Lesotho,LSO,2024,45438257.0,0.007
Namibia,NAM,2024,77149738.0,0.011
Eswatini,SWZ,2024,13036145.0,0.002
South Africa,ZAF,2024,12387193246.0,1.798
Zambia,ZMB,2024,1957124231.0,0.284
Zimbabwe,ZWE,2024,124426819.0,0.018
Benin,BEN,2024,186036453.0,0.027
Burkina Faso,BFA,2024,176683654.0,0.026
Cote d'Ivoire,CIV,2024,484305314.0,0.070
Cape Verde,CPV,2024,5306088.0,0.001
Ghana,GHA,2024,1699783498.0,0.247
Guinea,GIN,2024,722576211.0,0.105
Gambia,GMB,2024,46876738.0,0.007
GuineaBissau,GNB,2024,199276660.0,0.029
Liberia,LBR,2024,24309010.0,0.004
Mali,MLI,2024,180820870.0,0.026
Mauritania,MRT,2024,31549363.0,0.005
Niger,NER,2024,135312415.0,0.020
Nigeria,NGA,2024,6146470599.0,0.892
Senegal,SEN,2024,677904929.0,0.098
Saint Helena,SHN,2024,3712.0,0.000
Sierra Leone,SLE,2024,90165420.0,0.013
Togo,TGO,2024,788530848.0,0.114
Kazakhstan,KAZ,2024,637288516.0,0.092
Kyrgyzstan,KGZ,2024,73501358.0,0.011
Tajikistan,TJK,2024,8039832.0,0.001
Turkmenistan,TKM,2024,262511822.0,0.038
Uzbekistan,UZB,2024,222663993.0,0.032
China,CHN,2024,122678523240.0,17.804
Hong Kong,HKG,2024,3351614645.0,0.486
Japan,JPN,2024,18754685624.0,2.722
South Korea,KOR,2024,19661467222.0,2.853
Macau,MAC,2024,7202329.0,0.001
Mongolia,MNG,2024,1416379.0,0.000
North Korea,PRK,2024,4029183.0,0.001
Chinese Taipei,TWN,2024,10886621226.0,1.580
Brunei,BRN,2024,267548221.0,0.039
Christmas Island,CXR,2024,2861.0,0.000
Indonesia,IDN,2024,23682996363.0,3.437
Cambodia,KHM,2024,219995889.0,0.032
Laos,LAO,2024,77630361.0,0.011
Burma,MMR,2024,1480352137.0,0.215
Malaysia,MYS,2024,12138958435.0,1.762
Philippines,PHL,2024,1573906978.0,0.228
Singapore,SGP,2024,7943798491.0,1.153
Thailand,THA,2024,12358047744.0,1.793
TimorLeste,TLS,2024,233672.0,0.000
Vietnam,VNM,2024,10647546290.0,1.545
Afghanistan,AFG,2024,664890446.0,0.096
Bangladesh,BGD,2024,1861917281.0,0.270
Bhutan,BTN,2024,435643139.0,0.063
Iran,IRN,2024,1058569165.0,0.154
Sri Lanka,LKA,2024,1070676930.0,0.155
Maldives,MDV,2024,93450547.0,0.014
Nepal,NPL,2024,867584541.0,0.126
Pakistan,PAK,2024,54210.0,0.000
United Arab Emirates,ARE,2024,55733794954.0,8.088
Armenia,ARM,2024,37418229.0,0.005
Azerbaijan,AZE,2024,734702708.0,0.107
Bahrain,BHR,2024,771607433.0,0.112
Georgia,GEO,2024,55797767.0,0.008
Iraq,IRQ,2024,29854872364.0,4.333
Israel,ISR,2024,1501480699.0,0.218
Jordan,JOR,2024,1674737185.0,0.243
Kuwait,KWT,2024,8332662567.0,1.209
Lebanon,LBN,2024,58518483.0,0.008
Oman,OMN,2024,4517216928.0,0.656
Palestine,PSE,2024,343436.0,0.000
Qatar,QAT,2024,12591689953.0,1.827
Saudi Arabia,SAU,2024,30811822757.0,4.472
Syria,SYR,2024,62568594.0,0.009
Turkey,TUR,2024,2667120174.0,0.387
Yemen,YEM,2024,197649034.0,0.029
Cyprus,CYP,2024,30501979.0,0.004
Bulgaria,BGR,2024,204149661.0,0.030
Belarus,BLR,2024,26118404.0,0.004
Czechia,CZE,2024,1207398580.0,0.175
Hungary,HUN,2024,606250677.0,0.088
Moldova,MDA,2024,19508937.0,0.003
Poland,POL,2024,1440814776.0,0.209
Romania,ROU,2024,350249755.0,0.051
Russia,RUS,2024,66387358520.0,9.634
Slovakia,SVK,2024,276788084.0,0.040
Ukraine,UKR,2024,1069977121.0,0.155
Denmark,DNK,2024,803178695.0,0.117
Estonia,EST,2024,142921029.0,0.021
Finland,FIN,2024,811907870.0,0.118
United Kingdom,GBR,2024,6626040867.0,0.962
Ireland,IRL,2024,941294997.0,0.137
Iceland,ISL,2024,12070877.0,0.002
Lithuania,LTU,2024,149899470.0,0.022
Latvia,LVA,2024,102080855.0,0.015
Norway,NOR,2024,890713144.0,0.129
Sweden,SWE,2024,2056334237.0,0.298
Albania,ALB,2024,7901119.0,0.001
Andorra,AND,2024,87819.0,0.000
Bosnia and Herzegovina,BIH,2024,19261149.0,0.003
Spain,ESP,2024,2501137135.0,0.363
Gibraltar,GIB,2024,530.0,0.000
Greece,GRC,2024,169511145.0,0.025
Croatia,HRV,2024,44715454.0,0.006
Italy,ITA,2024,5757232064.0,0.836
North Macedonia,MKD,2024,6195291.0,0.001
Malta,MLT,2024,36894899.0,0.005
Montenegro,MNE,2024,575648.0,0.000
Portugal,PRT,2024,231897712.0,0.034
San Marino,SMR,2024,491276.0,0.000
Serbia,SRB,2024,35224285.0,0.005
Slovenia,SVN,2024,158113734.0,0.023
Austria,AUT,2024,1491479266.0,0.216
Belgium,BEL,2024,3999916685.0,0.580
Switzerland,CHE,2024,22121024077.0,3.210
Germany,DEU,2024,17748303488.0,2.576
France,FRA,2024,6703248232.0,0.973
Luxembourg,LUX,2024,74729012.0,0.011
Netherlands,NLD,2024,2438979409.0,0.354
Aruba,ABW,2024,621523.0,0.000
Anguilla,AIA,2024,17546.0,0.000
Antigua and Barbuda,ATG,2024,633217.0,0.000
Bahamas,BHS,2024,8724869.0,0.001
Barbados,BRB,2024,3673466.0,0.001
Cuba,CUB,2024,2412387.0,0.000
Curaçao,CUW,2024,3187313.0,0.000
Cayman Islands,CYM,2024,78199893.0,0.011
Dominica,DMA,2024,258965.0,0.000
Dominican Republic,DOM,2024,756241509.0,0.110
Grenada,GRD,2024,492155.0,0.000
Haiti,HTI,2024,10074401.0,0.001
Jamaica,JAM,2024,9984234.0,0.001
Saint Kitts and Nevis,KNA,2024,108176.0,0.000
Saint Lucia,LCA,2024,1476628.0,0.000
Trinidad and Tobago,TTO,2024,281131961.0,0.041
Saint Vincent and the Grenadines,VCT,2024,244506.0,0.000
British Virgin Islands,VGB,2024,435992.0,0.000
Belize,BLZ,2024,509872.0,0.000
Costa Rica,CRI,2024,142398344.0,0.021
Guatemala,GTM,2024,29750600.0,0.004
Honduras,HND,2024,38832944.0,0.006
Mexico,MEX,2024,4003918365.0,0.581
Nicaragua,NIC,2024,49244918.0,0.007
Panama,PAN,2024,77683141.0,0.011
El Salvador,SLV,2024,8209984.0,0.001
Bermuda,BMU,2024,99.0,0.000
Canada,CAN,2024,5347581691.0,0.776
Greenland,GRL,2024,38106.0,0.000
United States,USA,2024,39116233813.0,5.677
Australia,AUS,2024,18935741213.0,2.748
New Zealand,NZL,2024,524775705.0,0.076
Fiji,FJI,2024,1481505.0,0.000
New Caledonia,NCL,2024,27370585.0,0.004
Papua New Guinea,PNG,2024,384189322.0,0.056
Solomon Islands,SLB,2024,9374699.0,0.001
Vanuatu,VUT,2024,526238.0,0.000
Micronesia,FSM,2024,108.0,0.000
Kiribati,KIR,2024,3447.0,0.000
Marshall Islands,MHL,2024,34049.0,0.000
Northern Mariana Islands,MNP,2024,37186.0,0.000
Nauru,NRU,2024,22451.0,0.000
American Samoa,ASM,2024,40900.0,0.000
French Polynesia,PYF,2024,307053.0,0.000
Tokelau,TKL,2024,33675.0,0.000
Samoa,WSM,2024,5274861.0,0.001
Norfolk Island,NFK,2024,85974.0,0.000
Pitcairn Islands,PCN,2024,14645.0,0.000
Argentina,ARG,2024,3905193550.0,0.567
Bolivia,BOL,2024,373373155.0,0.054
Brazil,BRA,2024,5382537458.0,0.781
Chile,CHL,2024,2560454546.0,0.372
Colombia,COL,2024,2703551389.0,0.392
Ecuador,ECU,2024,330032530.0,0.048
Guyana,GUY,2024,11333350.0,0.002
Peru,PER,2024,4724020984.0,0.686
Paraguay,PRY,2024,110535583.0,0.016
Suriname,SUR,2024,33319202.0,0.005
Uruguay,URY,2024,99080315.0,0.014
Venezuela,VEN,2024,2040855054.0,0.296
